Dönem,TARİH,Başlama Saati,Bitiş Saati,KONU,DİLİM ADI / ANABİLİM DALI,YER,,,,,,
Dönem 1,14 Ekim 2025 Salı,16:00,16:40,6-Politravmalıya Yaklaşım ve Taşıma Teknikleri /Prof. Dr. A.Kemalettin KOLTKA (Doç. Dr. Demet ALTUN BİNGÖL),TIBBA MERHABA DİLİMİ / ANESTEZİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,15 Ekim 2025 Çarşamba,08:30,09:10,9-Çevreye Yönelik Önlemler / Doç. Dr. Meryem Merve ÖREN ÇELİK (Dr. Öğr. Üyesi Özkan AYVAZ) ,TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,15 Ekim 2025 Çarşamba,09:20,10:00,10-Değişen çevre - sağlığı geliştiren okullar - şehirler / Dr. Öğr. Üyesi Özkan AYVAZ (Doç. Dr. Meryem Merve ÖREN ÇELİK),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,15 Ekim 2025 Çarşamba,10:10,10:50,13-Ego İşlevleri ve Ego Savunma Mekanizmaları I /  Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,15 Ekim 2025 Çarşamba,11:00,11:40,14-Ego İşlevleri ve Ego Savunma Mekanizmaları II /  Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,15 Ekim 2025 Çarşamba,11:50,12:30,7-Zehirlenmelerde ve Dahili Acillerde İlk Yardım Hayvan Isırmalarında İlkYardım / Prof. Dr. Perihan ERGİN ÖZCAN (Doç. Dr. Achmet ALİ),TIBBA MERHABA DİLİMİ / ANESTEZİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,15 Ekim 2025 Çarşamba,13:30,14:10,Seçmeli Dersler - 3,,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI SEÇMELİ DERS AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,15 Ekim 2025 Çarşamba,14:20,15:00,Seçmeli Dersler - 3,,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI SEÇMELİ DERS AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,15 Ekim 2025 Çarşamba,15:10,15:50,Seçmeli Dersler - 3,,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI SEÇMELİ DERS AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,16 Ekim 2025 Perşembe,08:30,10:20,KIRIK-ÇIKIK UYGULAMASI,TIBBA MERHABA DİLİMİ,AZİZ SANCAR AMFİSİ,,,,,,
Dönem 1,16 Ekim 2025 Perşembe,11:00,11:40,15-Stres Kavramı - Stresin Biyopsikososyal Boyutları - Stres ve Hastalıklar /Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,16 Ekim 2025 Perşembe,11:50,12:30,16-Stresle Başa Çıkma Yöntemleri / Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,16 Ekim 2025 Perşembe,13:30,14:10,13- Fakültemizin Tarihi ve Örnek Hekim Portreleri / Prof. Dr. Fatma Arın NAMAL (Prof. Dr. İlhan İLKILIÇ),TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK A.D.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,16 Ekim 2025 Perşembe,14:20,15:00,14-Sanat ve Edebiyatta Tıp / Prof. Dr. Fatma Arın NAMAL (Prof. Dr. İlhan İLKILIÇ),TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK A.D.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,16 Ekim 2025 Perşembe,15:10,15:50,11-Değişen iş yaşamı ve sağlığa etkileri / Prof. Dr. Halim İŞSEVER (Prof. Dr. Nuray ÖZGÜLNAR),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,16 Ekim 2025 Perşembe,16:00,16:40,12-Sağlığı geliştiren işyerleri / Prof. Dr. Halim İŞSEVER (Prof. Dr. Nuray ÖZGÜLNAR),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,, ,,,,
Dönem 1,17 Ekim 2025 Cuma,08:30,09:10,13-Değişen yaşam biçimleri - sağlığa etkisi (Bulaşıcı hastalıklar) / Prof. Dr. Sevgi CANBAZ (Prof. Dr. Nuray ÖZGÜLNAR),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,17 Ekim 2025 Cuma,09:20,10:00,14-Sağlık ölçütleri / Prof. Dr. Nuray ÖZGÜLNAR (Dr. Öğr. Üye. Emine Şeyma KARAKETİR),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,17 Ekim 2025 Cuma,10:10,10:50,15-Sağlık eğitimi / Dr. Öğr. Üyesi Özkan AYVAZ (Prof. Dr. Nuray ÖZGÜLNAR),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,17 Ekim 2025 Cuma,11:00,12:30,ENTEGRE OTURUM - İnsanı biyo-psiko-sosyal bir bütün olarak ele almak - Prof. Dr. Selma KARABEY / Prof. Dr. Güler BAHADIR / Dr. Öğr. Üyesi Hacer Ayşen YAVRU (Prof. Dr. Gülsüm Nurhan İNCE) Doç. Dr. Ayşe Nilüfer ALÇALAR / Prof. Dr. İlhan İLKIULIÇ (İngilizce Tıp ile ortak ders),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD. - RUH SAĞLIĞI VE HASTALIKLARI AD. - ANESTEZİYOLOJİ VE REANİMASYON AD. - TIP TARİHİ VE ETİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,17 Ekim 2025 Cuma,14:00,15:30,UYGULAMA,TIBBA MERHABA DİLİMİ,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,20 Ekim 2025 Pazartesi,10:00,12:00,SERBEST ÇALIŞMA (Dönem 2 Sınav),,,,,,,,
Dönem 1,20 Ekim 2025 Pazartesi,13:00,14:00,DİLİM SINAVI,TIBBA MERHABA DİLİMİ,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,20 Ekim 2025 Pazartesi,15:00,16:00,SERBEST ÇALIŞMA,,,,,,,,
Dönem 1,21 Ekim 2025 Salı,08:30,09:10,1-Biyolojik sistemlerde ölçek bilimi (metroloji) / Prof. Dr. Işıl ALBENİZ (Prof. Dr. Handan AKÇAKAYA),YAŞAMIN MOLEKÜLER TEMELLERİ / BİYOFİZİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,21 Ekim 2025 Salı,08:30,09:10,1-Biyolojik sistemlerde ölçek bilimi (metroloji) / Prof. Dr. Işıl ALBENİZ (Prof. Dr. Handan AKÇAKAYA),YAŞAMIN MOLEKÜLER TEMELLERİ / BİYOFİZİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,21 Ekim 2025 Salı,09:20,10:00,2-Yaşam ortamı olarak suyun önemi ve biyofiziksel özellikleri / Prof. Dr. Işıl ALBENİZ (Prof. Dr. Handan AKÇAKAYA),YAŞAMIN MOLEKÜLER TEMELLERİ / BİYOFİZİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,21 Ekim 2025 Salı,10:10,10:50,1-Suyun yapısı ve hidrojen bağları / Prof. Dr. Canan KÜÇÜKGERGİN (Prof. Dr. Nihal SALMAYENLİ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,21 Ekim 2025 Salı,11:00,11:40,2-Suyun iyonlaşması / Prof. Dr. Canan KÜÇÜKGERGİN (Prof. Dr. Nihal SALMAYENLİ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,21 Ekim 2025 Salı,11:50,12:30,3-pH ve asit-baz kavramı / Prof. Dr. Canan KÜÇÜKGERGİN (Prof. Dr. Nihal SALMAYENLİ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,21 Ekim 2025 Salı,13:30,14:10,1-İLETİŞİM BECERİLERİ 1 Tanışma derse yönelim - amaç ve öğrenim hedefleri / Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),DİKEY KORİDOR DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,21 Ekim 2025 Salı,14:20,15:00,2-İLETİŞİM BECERİLERİ 1 Temel iletişim kavramları / Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),DİKEY KORİDOR DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,21 Ekim 2025 Salı,15:10,15:50,1-Moleküler Evrim ve Yaşam / Prof. Dr. Sacide PEHLİVAN (Prof. Dr. Çiğdem KEKİK ÇINAR),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,21 Ekim 2025 Salı,16:00,16.40,2-Hücre membranın biyolojik özellikleri / Prof. Dr. Çiğdem KEKİK ÇINAR ( Prof.Dr. Fatma OĞUZ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,22 Ekim 2025 Çarşamba,08:30,09:10,4-Konsantrasyon türleri / Prof. Dr. Canan KÜÇÜKGERGİN (Prof. Dr. Nihal SALMAYENLİ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,22 Ekim 2025 Çarşamba,09:20,10:00,3-Hücre apikal ve yan yüzey özelleşmeleri / Prof. Dr. Çiğdem KEKİK ÇINAR ( Prof.Dr. Fatma OĞUZ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,22 Ekim 2025 Çarşamba,10:10,10:50,4-Hücre adezyonu ve hücreler arası matriks yapısı / Prof. Dr. Çiğdem KEKİK ÇINAR ( Prof.Dr. Fatma OĞUZ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,22 Ekim 2025 Çarşamba,11:00,11:40,3-İLETİŞİM BECERİLERİ 1 Sözlü iletişim (ses tonu - hitap) / Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),DİKEY KORİDOR DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,,,,,,,
Dönem 1,22 Ekim 2025 Çarşamba,11:50,12:30,4-İLETİŞİM BECERİLERİ 1 Sözlü iletişim (çift yönlü iletişim - geri bildirim) /Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),DİKEY KORİDOR DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,,,,,,,
Dönem 1,22 Ekim 2025 Çarşamba,13:30,14:10,Seçmeli Dersler - 4,,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI SEÇMELİ DERS AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,22 Ekim 2025 Çarşamba,14:20,15:00,Seçmeli Dersler - 4,,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI SEÇMELİ DERS AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,22 Ekim 2025 Çarşamba,15:10,15:50,Seçmeli Dersler - 4,,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI SEÇMELİ DERS AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,23 Ekim 2025 Perşembe,08:30,09:10,SERBEST ÇALIŞMA,,,,,,,,
Dönem 1,23 Ekim 2025 Perşembe,09:20,10:00,"5-Biyofiziğe giriş-temel kavramlar, biyofizik iç ortamlar-canlı sistemlerin temel yapısı / Prof. Dr. Muhammet BEKTAŞ (Doç. Dr. Başak GÜNÇER)",YAŞAMIN MOLEKÜLER TEMELLERİ / BİYOFİZİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,23 Ekim 2025 Perşembe,10:30,12:20,UYGULAMA,YAŞAMIN MOLEKÜLER TEMELLERİ DİLİMİ  / DİKEY KORİDOR,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,23 Ekim 2025 Perşembe,13:30,14:10,SERBEST ÇALIŞMA,,,,,,,,
Dönem 1,23 Ekim 2025 Perşembe,14:20,15:00,SERBEST ÇALIŞMA,,,,,,,,
Dönem 1,23 Ekim 2025 Perşembe,15:30,16:30,SERBEST ÇALIŞMA,,,,,,,,
Dönem 1,23 Ekim 2025 Perşembe,16:00,16:40,SERBEST ÇALIŞMA,,,,,,,,
Dönem 1,24 Ekim 2025 Cuma,08:30,09:10,5-Tamponlar / Prof. Dr. Canan KÜÇÜKGERGİN (Prof. Dr. Nihal SALMAYENLİ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,24 Ekim 2025 Cuma,09:20,10:00,6-Karbonhidratların yapısı ve sınıflandırılması / Prof. Dr. Evin ADEMOĞLU (Prof. Dr. Nihal SALMAYENLİ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,24 Ekim 2025 Cuma,10:30,12:20,UYGULAMA,YAŞAMIN MOLEKÜLER TEMELLERİ DİLİMİ  / DİKEY KORİDOR,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,24 Ekim 2025 Cuma,14:00,14:40,3-Biyolojik iç ortam içinde biyomoleküller-fiziksel özellikleri ve inceleme yöntemleri Prof. Dr. Işıl ALBENİZ (Prof. Dr. Handan AKÇAKAYA),YAŞAMIN MOLEKÜLER TEMELLERİ / BİYOFİZİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,24 Ekim 2025 Cuma,14:50,15:30,4-Biyomoleküllerin canlı hücre içindeki yapı-işlev ilişkileri / Prof. Dr. Işıl ALBENİZ (Prof. Dr. Handan AKÇAKAYA),YAŞAMIN MOLEKÜLER TEMELLERİ / BİYOFİZİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,24 Ekim 2025 Cuma,15:40,16:20,Suyun Klinik Kullanaımı / Prof. Dr. Arif DÖNMEZ  (Prof. Dr. Mine KARAGÜLLE),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ EKOLOJİ VE HİDROKLİMATOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,27 Ekim 2025 Pazartesi,08:30,10:20,UYGULAMA,YAŞAMIN MOLEKÜLER TEMELLERİ DİLİMİ  / DİKEY KORİDOR,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,27 Ekim 2025 Pazartesi,10:30,12:20,UYGULAMA,YAŞAMIN MOLEKÜLER TEMELLERİ DİLİMİ  / DİKEY KORİDOR,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,27 Ekim 2025 Pazartesi,13:30,14:10,7-Karbonhidratların biyokimyasal özellikleri / Prof. Dr. Evin ADEMOĞLU (Prof. Dr. Nihal SALMAYENLİ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,27 Ekim 2025 Pazartesi,14:20,15:00,8-Monosakkaritler ve monosakkarit türevleri / Prof. Dr. Evin ADEMOĞLU (Prof. Dr. Nihal SALMAYENLİ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,27 Ekim 2025 Pazartesi,15:10,15:50,6-Atom yapısı-kimyasal bağlar - kuantum modeline göre açıklanması - molekülsel hiyerarşi / Prof. Dr. Muhammet BEKTAŞ (Doç. Dr. Başak GÜNÇER),YAŞAMIN MOLEKÜLER TEMELLERİ / BİYOFİZİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,27 Ekim 2025 Pazartesi,16:00,16:40,"7-Moleküler etkileşim (protein-protein, Protein-ligant,Protein-DNA), moleküler dinamik(MD) simülasyon, biyoinformatik yaklaşımlar / Prof. Dr. Muhammet BEKTAŞ (Doç. Dr. Başak GÜNÇER)",YAŞAMIN MOLEKÜLER TEMELLERİ / BİYOFİZİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,28 Ekim 2025 Salı,08:30,10:20,UYGULAMA,YAŞAMIN MOLEKÜLER TEMELLERİ DİLİMİ  / DİKEY KORİDOR,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,28 Ekim 2025 Salı,10:30,12:20,UYGULAMA,YAŞAMIN MOLEKÜLER TEMELLERİ DİLİMİ  / DİKEY KORİDOR,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,28 Ekim 2025 Salı,13:30,16:20,CUMHURİYET BAYRAMI AREFESİ,,,,,,,,
Dönem 1,29 Ekim 2025 Çarşamba,,,CUMHURİYET BAYRAMI,,,,,,,,
Dönem 1,30 Ekim 2025 Perşembe,08:30,09:10,9-Disakkaritler ve oligosakkaritler / Prof. Dr. Evin ADEMOĞLU (Prof. Dr. Nihal SALMAYENLİ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,30 Ekim 2025 Perşembe,09:20,10:00,10-Homopolisakkaritler ve heteropolisakkaritler / Prof. Dr. Evin ADEMOĞLU (Prof. Dr. Nihal SALMAYENLİ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,30 Ekim 2025 Perşembe,10:30,12:20,UYGULAMA,YAŞAMIN MOLEKÜLER TEMELLERİ DİLİMİ  / DİKEY KORİDOR,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,30 Ekim 2025 Perşembe,13:10,15:00,UYGULAMA,YAŞAMIN MOLEKÜLER TEMELLERİ DİLİMİ  / DİKEY KORİDOR,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,31 Ekim 2025 Cuma,08:30,09:10,SERBEST ÇALIŞMA,,,,,,,,
Dönem 1,31 Ekim 2025 Cuma,09:20,10:00,SERBEST ÇALIŞMA,,,,,,,,
Dönem 1,31 Ekim 2025 Cuma,10:30,12:20,UYGULAMA,YAŞAMIN MOLEKÜLER TEMELLERİ DİLİMİ  / DİKEY KORİDOR,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,31 Ekim 2025 Cuma,14:00,14:40,"11-Lipitlerin genel özellikleri, sınıflandırılması / Prof. Dr. Canan KÜÇÜKGERGİN (Prof. Dr. Şule SEÇKİN)",YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,31 Ekim 2025 Cuma,14:50,15:30,12-Trigliseridler / Prof. Dr. Canan KÜÇÜKGERGİN (Prof. Dr. Şule SEÇKİN),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,31 Ekim 2025 Cuma,15:40,16:20,SERBEST ÇALIŞMA,,,,,,,,
Dönem 1,3 Kasım 2025 Pazartesi,08:30,10:20,UYGULAMA,YAŞAMIN MOLEKÜLER TEMELLERİ DİLİMİ  / DİKEY KORİDOR,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,3 Kasım 2025 Pazartesi,11:00,11:40,5-Mikrotubul yapı ve dinamiği / Prof. Dr. Çiğdem KEKİK ÇINAR ( Prof.Dr. Fatma OĞUZ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,3 Kasım 2025 Pazartesi,11:50,12:30,6-Mikrofilament ve araçaplı filamentlerin yapı ve dinamiği / Prof. Dr. Çiğdem KEKİK ÇINAR ( Prof.Dr. Fatma OĞUZ),YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,3 Kasım 2025 Pazartesi,13:30,14:10,5-İLETİŞİM BECERİLERİ 1 Sözsüz iletişim- Beden dili (jestler.mimikler…) / Dr. Öğr. Üyesi Irmak Polat  (Doç. Dr. Ayşe Nilüfer ALÇALAR),DİKEY KORİDOR DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,3 Kasım 2025 Pazartesi,14:20,15:00,6-İLETİŞİM BECERİLERİ 1 Beden dilinin önemi ve özellikleri /Dr. Öğr. Üyesi Irmak Polat  (Doç. Dr. Ayşe Nilüfer ALÇALAR),DİKEY KORİDOR DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,3 Kasım 2025 Pazartesi,15:10,15:50,"13-Fosfolipitler, glikolipitler, karotenler / Prof. Dr. Canan KÜÇÜKGERGİN (Prof. Dr. Şule SEÇKİN)",YAŞAMIN MOLEKÜLER TEMELLERİ / TIBBİ BİYOKİMYA AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
