Dönem,TARİH,Başlama Saati,Bitiş Saati,KONU,DİLİM ADI / ANABİLİM DALI,YER,,,,,,
Dönem 1,2 Ekim 2025 Perşembe,11:50,12:30,4-İçgüdü (Dürtü - Güdü (Duygulanım ve Dengeleşim) /  Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,2 Ekim 2025 Perşembe,13:30,14:10,9-Çocukta İlk Yardım / Prof. Dr. Metin UYSALOL (Prof. Dr. Demet DEMİRKOL),TIBBA MERHABA DİLİMİ / ÇOCUK SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,2 Ekim 2025 Perşembe,14:20,15:00,SERBEST ÇALIŞMA,,,,,,,,
Dönem 1,2 Ekim 2025 Perşembe,15:10,15:50,"1-İnsan ,Hayat ve Ölüm Nedir? / Prof. Dr. İlhan İLKILIÇ (Prof. Dr. Fatma Arın NAMAL)",TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK A.D.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,2 Ekim 2025 Perşembe,16:00,16:40,2- Sağlık ve Hastalık Nedir? / Prof. Dr. İlhan İLKILIÇ (Prof. Dr. Fatma Arın NAMAL),TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK A.D.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,3 Ekim 2025 Cuma,08:30,09:10,1-Geçmişten günümüze sağlık / Prof. Dr. Selma KARABEY (Prof. Dr. Halim İŞSEVER),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,3 Ekim 2025 Cuma,09:20,10:00,2-Sağlığın sosyal belirleyicileri / Prof. Dr. Gülsüm Nurhan İNCE (Prof. Dr. Selma KARABEY),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,3 Ekim 2025 Cuma,10:30,12:20,UYGULAMA,TIBBA MERHABA DİLİMİ,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,3 Ekim 2025 Cuma,14:00,14:40,3- Tıpta İnsan Bilimleri / Prof. Dr. İlhan İLKILIÇ (Prof. Dr. Fatma Arın NAMAL),TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK A.D.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,3 Ekim 2025 Cuma,14:50,15:30,4-Mesleki Değerlerimiz / Prof. Dr. Fatma Arın NAMAL (Prof. Dr. İlhan İLKILIÇ),TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK A.D.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,6 Ekim 2025 Pazartesi,08:30,09:10,3-Halk temelli sağlık yaklaşımı / Prof. Dr. Selma KARABEY (Prof. Dr. Nuray ÖZGÜLNAR),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,6 Ekim 2025 Pazartesi,09:20,10:00,4-Sağlığı Geliştirme / Prof. Dr. Selma KARABEY (Prof.Dr. Ayşe Emel ÖNAL),TIBBA MERHABA DİLİMİ / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,6 Ekim 2025 Pazartesi,10:30,12:20,UYGULAMA,TIBBA MERHABA DİLİMİ,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,6 Ekim 2025 Pazartesi,13:30,14:10,5-Bilinç - Dikkat - Bilinç Bozuklukları - Uyku ve Rüya / Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,6 Ekim 2025 Pazartesi,14:20,15:00,6-Algı - Algının Özellikleri - Algı Yanılmaları ve Bozuklukları / Doç. Dr. Ayşe Nilüfer ALÇALAR (Dr. Öğr. Üyesi Irmak Polat),TIBBA MERHABA DİLİMİ / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,6 Ekim 2025 Pazartesi,15:10,15:50,1-Tıbba merhaba - Sigaraya elveda / Prof. Dr. Gülfer OKUMUŞ,TIBBA MERHABA DİLİMİ / GÖĞÜS HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,6 Ekim 2025 Pazartesi,16:00,16:40,SERBEST ÇALIŞMA,,,,,,,,
Dönem 1,7 Ekim 2025 Salı,08:30,09:10,5-Tıpta Deontoloji / Prof. Dr. Fatma Arın NAMAL (Prof. Dr. İlhan İLKILIÇ),TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK A.D.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,7 Ekim 2025 Salı,09:20,10:00,6- Hasta Hakları ve Sorumlulukları / Prof. Dr. Fatma Arın NAMAL (Prof. Dr. İlhan İLKILIÇ),TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK A.D.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,7 Ekim 2025 Salı,10:30,12:20,UYGULAMA,TIBBA MERHABA DİLİMİ,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,7 Ekim 2025 Salı,13:30,15:20,UYGULAMA,TIBBA MERHABA DİLİMİ,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
