2,,,,,,,,
DÖNEM-3 HAREKET 2 DİLİMİ - UYGULAMA PROGRAMI (11.10 - 12.10 Uygulaması),,,,,,,,
Anabilim/Bilim Dalları,FİZİK TEDAVİ,FİZİK TEDAVİ,ORTOPEDİ,ORTOPEDİ,ROMATOLOJİ,ROMATOLOJİ,SPOR HEKİMLİĞİ,ÇOCUK SAĞLIĞI
26 Kasım 2025 Çarşamba,A3,A4,A5,A6,A7,A8,A1,A2
1 Aralık 2025 Pazartesi,A4,A5,A6,A7,A8,A1,A2,A3
3 Aralık 2025 Çarşamba,A5,A6,A7,A8,A1,A2,A3,A4
8 Aralık 2025 Pazartesi,A6,A7,A8,A1,A2,A3,A4,A5
10 Aralık 2025 Çarşamba,A7,A8,A1,A2,A3,A4,A5,A6 
12 Aralık 2025 Cuma,A8,A1,A2,A3,A4,A5,A6,A7 
,,,,,,,,
Çocuk Sağlığı (Genel Pediatri),,,,,,,,
Çocukta kan basıncı ölçümü ve değerlendirilmesi,,,,,,,,
,,,,,,,,
Çocuk Sağlığı (Kardiyoloji),,,,,,,,
Çocuklarda kardiyolojik muayene,,,,,,,,
,,,,,,,,
Farmakoloji,,,,,,,,
Akılcı antibiyotik kullanımı,,,,,,,,
,,,,,,,,
İç Hastalıkları,,,,,,,,
"Kan basıncı ölçümü, nabız muayenesi, ödem",,,,,,,,
,,,,,,,,
Kalp Damar Cerrahisi,,,,,,,,
Kardiyovasküler sistem hastalıklarında hasta başı uygulama,,,,,,,,
,,,,,,,,
Kardiyoloji,,,,,,,,
Kalp hastalarında anamnez,,,,,,,,
Kalp hastalarında genel muayene prensipleri,,,,,,,,
Kalp sesleri ve üfürümler,,,,,,,,
,,,,,,,,
Patoloji Kardiyovasküler Sistem,,,,,,,,
"Mikroskopi: Romatizmal myokardit, Myokard infarktüsü, Ateroskleroz",,,,,,,,
"Makroskopi: Endokarditler, Fibrinli perikardit, Myokard infarktüsü, Kalp hipertirofi ve dilatasyonu, Ateroskleroz, Anevrizmalar.",,,,,,,,
,,,,,,,,
Spor Hekimliği,,,,,,,,
Aerobik Kapasite ve Güç Ölçümü,,,,,,,,
,,,,,,,,
DÖNEM-3 SOLUNUM 2 DİLİMİ - UYGULAMA PROGRAMI (11.10 - 12.10 Uygulaması),,,,,,,,
Anabilim/Bilim Dalları,ÇOCUK SAĞLIĞI,ÇOCUK SAĞLIĞI,GÖĞÜS HAST.,GÖĞÜS HAST.,ANESTEZİYOLOJİ,GÖĞÜS CERRAHİSİ,SPOR HEKİMLİĞİ,KBB
TARİH,,,,,,,,
15 Aralık 2025 Pazartesi,A1,A2,A3,A4,A5,A6,A7,A8
17 Aralık 2025 Çarşamba,A3,A4,A5,A6,A7,A8,A1,A2
22 Aralık 2025 Pazartesi,A5,A6,A7,A8,A1,A2,A3,A4
24 Aralık 2025 Çarşamba,A7,A8,A1,A2,A3,A4,A5,A6
29 Aralık 2025 Pazartesi,A1,A2,A4,A3,A6,A5,A8,A7
31 Aralık 2025 Çarşamba,A3,A4,A2,A5,A8,A7,A6,A1
2 Ocak 2026 Cuma,A5,A6,A8,A7,A2,A1,A4,A3
5 Ocak 2026 Pazartesi,A7,A8,A6,A1,A4,A3,A2,A5
,,,,,,,,
Sağlığı (Allerji),,,,,,,,
Çocukta Solunum sistemi öykü ve fizik muayene 1,,,,,,,,
Çocukta solunum sistemi öykü ve fizik muayene 2,,,,,,,,
,,,,,,,,
Farmakoloji,,,,,,,,
Farmakolojide tarama testleri,,,,,,,,
,,,,,,,,
Göğüs Cerrahisi,,,,,,,,
Göğüs Cerrahi Olguları,,,,,,,,
,,,,,,,,
Göğüs Hastalıkları,,,,,,,,
Obstrüktif Akciğer Hastalıkları,,,,,,,,
Pnömoni-Tüberküloz,,,,,,,,
Tanı Yöntemleri/Aciller,,,,,,,,
,,,,,,,,
Kulak Burun Boğaz,,,,,,,,
Burun ve boğaz muayenesi,,,,,,,,
,,,,,,,,
Anesteziyoloji ve Reanimasyon,,,,,,,,
Kan Gazları,,,,,,,,
,,,,,,,,
Mikrobiyoloji ,,,,,,,,
Uygulama 1.Üst ve alt solunum yolu infeksiyonlarının bakteriyolojik tanısı,,,,,,,,
- Boğaz salgısı kültürü,,,,,,,,
- Tüberkülozda tanı yöntemleri,,,,,,,,
- Pnömonide tanı yöntemleri,,,,,,,,
Uygulama 2. a) Fungal solunum yolu infeksiyonlarının laboratuvar tanısı,,,,,,,,
a) Fungal solunum yolu infeksiyonlarının laboratuvar tanısı,,,,,,,,
-Mikroskop incelemeleri,,,,,,,,
-Kültür yöntemleri,,,,,,,,
-Serolojik ve moleküler yöntemlerin tanıdaki yeri,,,,,,,,
-Sonuçların değerlendirilmesi ve raporlama,,,,,,,,
b) Viral solunum yolu infeksiyonlarının laboratuvar tanısı,,,,,,,,
,,,,,,,,
Patoloji,,,,,,,,
"Mikroskopi: Larenks karsinomu, Akciğer tüberkülozu, Akciğer karsinomu ",,,,,,,,
"Makroskopi: Larenks kanserleri, Akciğer tüberkülozu, Akciğer kanserleri. ",,,,,,,,
,,,,,,,,
Spor Hekimliği,,,,,,,,
Egzersiz Reçetelendirmesi,,,,,,,,
,,,,,,,,
DÖNEM-3 ENDOKRİN - METABOLİZMA 2 DİLİMİ - UYGULAMA PROGRAMI (11.10 - 12.10 Uygulaması),,,,,,,,
Anabilim/Bilim Dalları,ÇOCUK END.- MET.,ÇOCUK END.- MET.,İÇ HAST. TIBBİ GENETİK,İÇ HAST. ENDOKRİN,İÇ HAST. ENDOKRİN,SPOR HEKİMLİĞİ,NÜKLEER TIP,BİYOKİMYA
TARİH,,,,,,,,
2 Şubat 2026 Pazartesi,A1,A2,A3,A4,A5,A6,A7,A8
4 Şubat 2026 Çarşamba,A2,A3,A4,A5,A6,A7,A8,A1
9 Şubat 2026 Pazartesi,A3,A4,A5,A6,A7,A8,A1,A2
11 Şubat 2026 Çarşamba,A4,A5,A6,A7,A8,A1,A2,A3
16 Şubat 2026 Pazartesi,A5,A6,A7,A8,A1,A2,A3,A4
18 Şubat 2026 Çarşamba,A6,A7,A8,A1,A2,A3,A4,A5
23 Şubat 2026 Pazartesi,A7,A8,A1,A2,A3,A4,A5,
25 Şubat 2026 Çarşamba,A8,A1,A2,A3,A4,A5,A6,
3 Mart 2026 Salı,,,,,,,,A6
3 Mart 2026 Salı,,,,,,,,A7
Klinik Biyokimya,,,,,,,,
Endokrinde kullanılan testler (laboratuar ortamında uygulama),,,,,,,,
,,,,,,,,
Çocuk Sağlığı (Endokrin),,,,,,,,
Antropometrik ölçümlerin alınması ve değerlendirilmesi,,,,,,,,
Büyüme ve ergenliğin değerlendirilmesi,,,,,,,,
,,,,,,,,
Çocuk Sağlığı (Metabolizma) ,,,,,,,,
Metabolik hastalıklarda öykü Beslenme öyküsü alma,,,,,,,,
,,,,,,,,
Farmakoloji,,,,,,,,
Klinik farmakoloji ve ilaç araştırmaları,,,,,,,,
,,,,,,,,
İç Hastalıkları (Endokrin Bilim Dalı – 3.Blok 1.Kat Prof. Dr. Ergin Sencar Seminer Odası),,,,,,,,
Endokrinolojide hasta değerlendirmesi (hasta başı uygulama),,,,,,,,
,,,,,,,,
İç Hastalıkları (Genetik ),,,,,,,,
Sık görülen genetik bozukluklar,,,,,,,,
,,,,,,,,
Spor Hekimliği,,,,,,,,
Yaralanmalara Temel Yaklaşım ve İlk Müdahale,,,,,,,,
,,,,,,,,
Nükleer Tıp (İç Hastalıkları Binası A Blok 2.Bodrum Nükleer Tıp AD Gama Kamera Ünitesi),,,,,,,,
Sintigrafik görüntülemede hasta başı uygulama,,,,,,,,
,,,,,,,,
Patoloji  Endokrin Sistem:,,,,,,,,
"Mikroskopi: Diffüz kolloidal guvatr, Hashimoto tiroiditi, Tiroid karsinomu ",,,,,,,,
"Makroskopi: Endokrin sistem tümörleri, Multinodüler guvatr.",,,,,,,,
,,,,,,,,
DÖNEM-3 SİNDİRİM 2 DİLİMİ - UYGULAMA PROGRAMI (11.10 - 12.10 Uygulaması),,,,,,,,
Anabilim/Bilim Dalları,GASTROENT.,GASTROENT.,GASTROENT.,ÇOCUK GASTRO.,ÇOCUK GASTRO.,"GENEL
PEDİATRİ",ACİL DAHİLİYE,"GENEL
CER."
TARİH,,,,,,,,
2 Mart 2026 Pazartesi,A1,A2,A3,A4,A5,A6,A7,A8
