Dönem,Start Date,Start Time,End Time,Subject,Description,Location,,,,,,,,,,,,,,,,,,,
Time Table 1,2 Ekim 2025 Perşembe,13:30,14:10,3-First aid in Bleeds and Burns / Prof.Dr. Mehmet İLHAN (Uzm.Dr. İbrahim Fethi AZAMAT),INTRODUCTION TO MEDICINE / GENEL CERRAHİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,2 Ekim 2025 Perşembe,14:20,15:00,FREE TIME,,,,,,,,,,,,,,,,,,,,,
Time Table 1,2 Ekim 2025 Perşembe,15:10,15:50,1-Basic Life Support 1 / Dr.Öğr.Üyesi Hacer Ayşen YAVRU (Doç.Dr. Achmet ALİ),INTRODUCTION TO MEDICINE / ANESTEZİYOLOJİ VE REANİMASYON AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,2 Ekim 2025 Perşembe,16:00,16:40,2-Basic Life Support 2 / Dr.Öğr.Üyesi Hacer Ayşen YAVRU (Doç.Dr. Achmet ALİ),INTRODUCTION TO MEDICINE / ANESTEZİYOLOJİ VE REANİMASYON AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,3 Ekim 2025 Cuma,08:30,09:10,FREE TIME,,,,,,,,,,,,,,,,,,,,,
Time Table 1,3 Ekim 2025 Cuma,09:20,10:00,3-Medical Humanities /Prof. Dr. İlhan İLKILIÇ (Prof. Dr. Fatma Arın NAMAL),INTRODUCTION TO MEDICINE / TIP TARİHİ VE ETİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,3 Ekim 2025 Cuma,10:10,10:50,4-Our Professional Values / Prof. Dr. İlhan İLKILIÇ (Prof. Dr. Fatma Arın NAMAL,INTRODUCTION TO MEDICINE / TIP TARİHİ VE ETİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,3 Ekim 2025 Cuma,11:00,11:40,3-Approach to Health Based on Rights / Prof.Dr. Selma KARABEY (Prof.Dr. Gülsüm Nurhan İNCE),INTRODUCTION TO MEDICINE / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,3 Ekim 2025 Cuma,11:50,12:30,4- Health Promotion / Prof.Dr. Selma KARABEY (Prof.Dr. Ayşe Emel ÖNAL),INTRODUCTION TO MEDICINE / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,3 Ekim 2025 Cuma,14:00,14:40,"1-Sterilization, disinfection, antisepsis / Prof.Dr. Yaşar NAKİPOĞLU (Doç.Dr. Gonca ERKÖSE GENÇ)",INTRODUCTION TO MEDICINE / TIBBİ MİKROBİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,3 Ekim 2025 Cuma,14:50,15:30,2-Introduction to Preventing Nosocomial Infections / Prof.Dr. Yaşar NAKİPOĞLU (Doç.Dr. Gonca ERKÖSE GENÇ),INTRODUCTION TO MEDICINE / TIBBİ MİKROBİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,3 Ekim 2025 Cuma,15:40,16:20,5- Principles of Health Services and Health Policies / Prof.Dr. Gülsüm Nurhan İNCE (Prof. Dr. Selma KARABEY),INTRODUCTION TO MEDICINE / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,6 Ekim 2025 Pazartesi,08:30,09:10,3- Knowing Human Behavior - Definition and History of Psychology / Doç.Dr. Dilek ANUK (Dr.Öğr.Üyesi Irmak POLAT),INTRODUCTION TO MEDICINE / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,6 Ekim 2025 Pazartesi,09:20,10:00,4- Basic Approches in Psychology and Fields of Psychology /  Doç.Dr. Dilek ANUK (Dr.Öğr.Üyesi Irmak POLAT),INTRODUCTION TO MEDICINE / RUH SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,6 Ekim 2025 Pazartesi,10:10,10:50,9- First aid in children / Prof.Dr. Demet DEMİRKOL (Prof.Dr. Metin UYSALOL),INTRODUCTION TO MEDICINE / ÇOCUK SAĞLIĞI VE HASTALIKLARI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,6 Ekim 2025 Pazartesi,11:00,11:40,"6-Health Service  Delivery in Turkey and in the World,Health Work Force / Dr. Öğr. Üyesi Özkan AYVAZ (Prof. Dr. G.Nurhan İNCE)",INTRODUCTION TO MEDICINE / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,6 Ekim 2025 Pazartesi,11:50,12:30,7- Personal Preventive Measures I / Prof.Dr. Ayşe Emel ÖNAL (Dr. Öğre. Üyesi Özkan AYVAZ),INTRODUCTION TO MEDICINE / HALK SAĞLIĞI AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,6 Ekim 2025 Pazartesi,13:30,14:10,5- First aid to the Drowning Patient - First aid in Heat Stroke - Electric Shock and Frost / Doç.Dr. Demet ALTUN BİNGÖL (Doç.Dr. Achmet ALİ),INTRODUCTION TO MEDICINE / ANESTEZİYOLOJİ VE REANİMASYON AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,6 Ekim 2025 Pazartesi,14:20,15:00,6-Dealing with the Polytrauma patiend and Techniques of Transport / Prof.Dr. A.Kemalettin KOLTKA (Doç.Dr. Achmet ALİ),INTRODUCTION TO MEDICINE / ANESTEZİYOLOJİ VE REANİMASYON AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,6 Ekim 2025 Pazartesi,15:10,15:50,5-Deontology in Medicine / Prof. Dr. İlhan İLKILIÇ (Prof. Dr. Fatma Arın NAMAL,INTRODUCTION TO MEDICINE / TIP TARİHİ VE ETİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,6 Ekim 2025 Pazartesi,16:00,16:40,6-Patient Rights and Responsibilities / Prof. Dr. İlhan İLKILIÇ (Prof. Dr. Fatma Arın NAMAL,INTRODUCTION TO MEDICINE / TIP TARİHİ VE ETİK AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,,,,,,,,,,,,,,
Time Table 1,7 Ekim 2025 Salı,08:30,09:10,FREE TIME,,,,,,,,,,,,,,,,,,,,,
