,,,,,,,,
DÖNEM-3 KAN LENFOİD 2 DİLİMİ - UYGULAMA PROGRAMI (11.10 - 12.10 Uygulaması),,,,,,,,
Anabilim\Bilim Dalları,HEMATOLOJİ,HEMATOLOJİ,GERATRİ,ACİL DAHİLİYE,KAN MERKEZİ,ÇOCUK HEMATOLOJİSİ,ÇOCUK HEMATOLOJİSİ,ALERJİ
-Klinik örneklerin kabul ve red kriterleri,,,,,,,,
-Etken olan protozoon ve helmintlerin laboratuvar tanısı,,,,,,,,
-Sonuçların değerlendirilmesi ve raporlama,,,,,,,,
b) Viral gastroenteritlerin laboratuvar tanısı,,,,,,,,
,,,,,,,,
Patoloji,,,,,,,,
"Mikroskopi: Kolon adenokarsinom, Kolon adenomatöz polip. Siroz, Hepatoselüler karsinom",,,,,,,,
"Makroskopi: Mide adenokarsinom, Kolon adenokarsinom, GİST, Ülseratif kolit, Crohn, Polipozis, Siroz, Primer ve metastatik karaciğer Tümörleri",,,,,,,,
,,,,,,,,
DÖNEM-3 ENDOKRİN - METABOLİZMA 2 DİLİMİ - UYGULAMA PROGRAMI (11.10 - 12.10 Uygulaması),,,,,,,,
Anabilim\Bilim Dalları,ÇOCUK END.- MET.,ÇOCUK END.- MET.,İÇ HAST. TIBBİ GENETİK,İÇ HAST. ENDOKRİN,İÇ HAST. ENDOKRİN,SPOR HEKİMLİĞİ,NÜKLEER TIP,BİYOKİMYA
TARİH,,,,,,,,
2 Mart 2026 Pazartesi,B1,B2,B3,B4,B5,B6,B7,B8
4 Mart 2026 Çarşamba,B2,B3,B4,B5,B6,B7,B8,B1
9 Mart 2026 Pazartesi,,,,,,B8,,B2
11 Mart 2026 Çarşamba,B4,B5,B6,B7,B8,B1,B2,B3
16 Mart 2026 Pazartesi,B5,B6,B7,B8,B1,B2,B3,B4
16 Mart 2026 Pazartesi   (10.10-10.50),B3,,,,,,,
17 Mart 2026 Salı   (9.20-10.00),,,,,,,B1,
18 Mart 2026 Çarşamba,B6,B7,B8,B1,B2,B3,B4,B5
23 Mart 2026 Pazartesi,B7,B8,B1,B2,B3,B4,B5,B6
24 Mart 2026 Salı   (11.00-11.40),,,B5,,,,,
24 Mart 2026 Salı   (11.50-12.30),,,,B6,B7,,,
24 Mart 2026 Salı   (14.30-15.30),,B4,,,,,,
25 Mart 2026 Çarşamba,B8,B1,B2,B3,B4,B5,B6,B7
,,,,,,,,
,,,,,,,,
,,,,,,,,
Klinik Biyokimya,,,,,,,,
Endokrinde kullanılan testler (laboratuar ortamında uygulama),,,,,,,,
,,,,,,,,
Çocuk Sağlığı (Endokrin),,,,,,,,
Antropometrik ölçümlerin alınması ve değerlendirilmesi ,,,,,,,,
Büyüme ve ergenliğin değerlendirilmesi,,,,,,,,
,,,,,,,,
Çocuk Sağlığı (Metabolizma) ,,,,,,,,
Metabolik hastalıklarda öykü ,,,,,,,,
Beslenme öyküsü alma,,,,,,,,
,,,,,,,,
Farmakoloji,,,,,,,,
Klinik farmakoloji ve ilaç araştırmaları,,,,,,,,
,,,,,,,,
İç Hastalıkları (Endokrin Bilim Dalı – 3.Blok 1.Kat Prof. Dr. Ergin Sencar Seminer Odası),,,,,,,,
Endokrinolojide hasta değerlendirmesi (hasta başı uygulama),,,,,,,,
,,,,,,,,
İç Hastalıkları (Genetik ),,,,,,,,
Sık görülen genetik bozukluklar,,,,,,,,
,,,,,,,,
Spor Hekimliği,,,,,,,,
Yaralanmalara Temel Yaklaşım ve İlk Müdahale,,,,,,,,
,,,,,,,,
Nükleer Tıp (İç Hastalıkları Binası A Blok 2.Bodrum Nükleer Tıp AD Gama Kamera Ünitesi),,,,,,,,
Sintigrafik görüntülemede hasta başı uygulama,,,,,,,,
,,,,,,,,
Patoloji  Endokrin Sistem:,,,,,,,,
"Mikroskopi: Diffüz kolloidal guvatr, Hashimoto tiroiditi, Tiroid karsinomu ",,,,,,,,
"Makroskopi: Endokrin sistem tümörleri, Multinodüler guvatr.",,,,,,,,
,,,,,,,,
DÖNEM-3 SİNİR DUYU 2 DİLİMİ - UYGULAMA PROGRAMI (11.10 - 12.10 Uygulaması) ,,,,,,,,
Anabilim\Bilim Dalları,DERMATOLOJİ,NÖROLOJİ,ÇOCUK NÖROLOJİ,GÖZ,KBB,,,
TARİH,,,,,,,,
6 Nisan 2026 Pazartesi,-,B1-B2-B7,B5,B3-B4,B6-B8,,,
8 Nisan 2026 Çarşamba,B1-B2-B3-B4,B5-B7-B8,,-,-,,,
13 Nisan 2026 Pazartesi,-,B6-B8-B4,B2,B1-B5,B3-B7,,,
15 Nisan 2026 Çarşamba,B5-B6-B7-B8,B3-B1-B2,B4,-,-,,,
16.04.2026 14.30-15.20,,,B6,,,,,
20 Nisan 2026 Pazartesi,-,B8-B3-B6,B1,B2-B7,B4-B5,,,
22 Nisan 2026 Çarşamba,B1-B2-B3-B4,B7-B6-B5,B8,-,-,,,
27 Nisan 2026 Pazartesi,-,B4-B5-B3,B7,B6-B8,B1-B2,,,
29 Nisan 2026 Çarşamba,B5-B6-B7-B8,B2-B4-B1,,-,-,,,
5 Mayıs 2026 Salı 14.30-15.10,,,B3,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Çocuk Sağlığı (Nöroloji),,,,,,,,
Yeni doğanda nörolojik muayene Süt çocuğunda nörolojik muayene,,,,,,,,
,,,,,,,,
Dermatoloji,,,,,,,,
Dermatolojik muayemenin ana ilkeleri,,,,,,,,
,,,,,,,,
Farmakoloji,,,,,,,,
Öğrenci seminerleri,,,,,,,,
,,,,,,,,
Göz Hastalıkları,,,,,,,,
Göz rahatsızlklarında hastanın değerlendirilmesi (hasta başı uygulama),,,,,,,,
,,,,,,,,
Kulak Burun Boğaz,,,,,,,,
İşitme kaybı değerlendirmesi,,,,,,,,
,,,,,,,,
Mikrobiyoloji Uygulama 1.,,,,,,,,
a-Merkezi sinir sistemi infeksiyonlarının mikrobiyolojik tanısı,,,,,,,,
-Etkenlere göre tanı yöntemleri,,,,,,,,
-Sonuçların değerlendirilmesi ve raporlama,,,,,,,,
b-Merkezi sinir sistemi infeksiyonlarının virolojik tanısı,,,,,,,,
,,,,,,,,
Uygulama 2.,,,,,,,,
a-Mantar infeksiyonlarının mikrobiyolojik tanısı,,,,,,,,
-Mikroskop incelemesi,,,,,,,,
-Kültür yöntemleri,,,,,,,,
-Sonuçların değerlendirilmesi ve raporlama,,,,,,,,
b-Böceklerin demonstrasyonu,,,,,,,,
,,,,,,,,
Nöroloji,,,,,,,,
Nörolojik muayene 1,,,,,,,,
Nörolojik muayene 2,,,,,,,,
Nörolojik muayene 3,,,,,,,,
,,,,,,,,
Patoloji,,,,,,,,
Patoloji ,,,,,,,,
Uygulama 1.,,,,,,,,
Tümöral Deri Hastalıkları:,,,,,,,,
"Mikroskopi: Nevüsler, Melanom, Bazal hücreli karsinom ",,,,,,,,
Makroskopi: Deri tümörleri,,,,,,,,
Uygulama 2.,,,,,,,,
Nöropatoloji,,,,,,,,
"Mikroskopi: Menenjit, meningiom, glioblastoma",,,,,,,,
"Makroskopi: Menenjitler, MSS tümörleri, kanamalar, hidrosefalus",,,,,,,,
,,,,,,,,
DÖNEM-3 ÜROGENİTAL VE ÜREME II DİLİMİ - UYGULAMA PROGRAMI (11.10 - 12.10 Uygulaması),,,,,,,,
Anabilim\Bilim Dalları,KADIN DOĞUM,KADIN DOĞUM,KADIN DOĞUM,NEFROLOJİ,NEFROLOJİ,NEFROLOJİ,ÇOCUK NEFROLOJİ,ÜROLOJİ
TARİH,,,,,,,,
4 Mayıs 2026 Pazartesi,B1,B2,B3,B4,B5,B6,B7,B8
6 Mayıs 2026 Çarşamba,B2,B3,B4,B5,B6,B7,B8,B1
11 Mayıs 2026 Pazartesi,B3,B4,B5,B6,B7,B8,B1,B2
13 Mayıs 2026 Çarşamba,B4,B5,B6,B7,B8,B1,B2,B3
15 Mayıs 2026 Cuma,B5,B6,B7,,,,B3,B4
18.05.2026 SAAT 8:30 TELAFİ,,,,B8,B1,B2,,
18 Mayıs 2026 Pazartesi,B6,B7,B8,B1,B2,B3,B4,B5
20 Mayıs 2026 Çarşamba,B7,B8,B1,B2,B3,B4,B5,B6
22 Mayıs 2026 Cuma,B8,B1,B2,B3,B4,B5,B6,B7
,,,,,,,,
Çocuk Sağlığı (Nefroloji),,,,,,,,
Çocuk nefrolojisinde hasta değerlendirme yöntemleri,,,,,,,,
,,,,,,,,
Farmakoloji,,,,,,,,
İç hastalıklarında ilaç araştırmaları,,,,,,,,
,,,,,,,,
İç Hastalıkları (Nefroloji),,,,,,,,
Nefrolojik hasta değerlendirmesi (hasta başı uygulama),,,,,,,,
,,,,,,,,
Kadın Doğum,,,,,,,,
İnfertil hastanın değerlendirilmesi,,,,,,,,
İnfertil hastanın tedavisi,,,,,,,,
Ürojinekolojik hastanın değerlendirilmesi,,,,,,,,
Adolesan ve pediyatrik hasta değerlendirmesi,,,,,,,,
Antenatal hasta muayenesi ,,,,,,,,
Maket üzerinde normal doğum,,,,,,,,
Jinekolojik hastanın değerlendirilmesi Onkolojik hastanın değerlendirilmesi,,,,,,,,
,,,,,,,,
Mikrobiyoloji Uygulama 1.,,,,,,,,
Genito-üriner sistem infeksiyonlarının bakteriyolojik tanısı,,,,,,,,
-Klinik örneklerin alınması,,,,,,,,
-Uygulanan mikrobiyolojik testler,,,,,,,,
-Sonuçların değerlendirilmesi ve raporlama,,,,,,,,
Uygulama 2.,,,,,,,,
Genito-üriner sistem infeksiyonlarının;,,,,,,,,
a) Virolojik  b) Parazitolojik tanısı,,,,,,,,
-Klinik örneklerin alınması,,,,,,,,
-Uygulanan mikrobiyolojik testler,,,,,,,,
-Sonuçların değerlendirilmesi ve raporlama,,,,,,,,
,,,,,,,,
Patoloji ,,,,,,,,
Uygulama 1. Üriner ve Erkek Genital Sistem:,,,,,,,,
"Mikroskopi: Piyelonefrit, böbrek hücreli karsinom, Seminom",,,,,,,,
"Makroskopi: Üriner sistem anomaleleri, Kronik hastalıkları ve tümörleri, Erkek genital sistem tümörleri",,,,,,,,
Uygulama 2. Kadın Genital Sistem ve Meme:,,,,,,,,
"Mikroskopi: Mol hidatiform, Endometrium karsinomu, Meme karsinomu",,,,,,,,
Makroskopi: Jinekolojik sistem ve meme hastalıkları,,,,,,,,
,,,,,,,,
Üroloji,,,,,,,,
Ürolojik hastanın değerlendirilmesi (hasta başı uygulama),,,,,,,,
